id,category,split,query,gold_answer,candidates,candidate_ids,candidate_ranks,candidate_sources,target_need,target_actions,semantic_sufficiency,notes
023-b20260803-r2-0-00106-0-00106-q1,temporal,train,When did Alex mention he planned to leave for his trip to Japan?,July 1st,"Alex and the assistant discussed visiting the Louvre and Notre-Dame in Paris. || Alex and the kids plan to visit the Louvre and the Musée d'Orsay in Paris. || Alex and the user visited the Blue Lagoon and saw the Northern Lights in Iceland. || Alex booked the last flight and hotel for Paris. || Alex has a family trip planned to Japan in July. || Alex is considering booking ski lessons for the children during the trip. || Alex plans to have a small gathering at home for her daughter’s birthday on June 17th. || Alex reserved flights and a hotel for a summer trip to Paris with the kids in July. || Alex’s children are excited about getting new winter gear. || The Japan trip involves four people: Alex, his wife, and two kids.","[""01KZ3M9QFACNH8XKD9CNS93DKA"", ""01KZ3M9CXA37773CGNY1HWYJ36"", ""01KZ3M9YZBQ7D6BDK529JDTTN6"", ""01KZ3M9QF875JXYA8A58C8FJWX"", ""01KZ3M94CF0ZTJ19RZAMBNQ20C"", ""01KZ3M9QFFXH8EMRXQDW4KDQG2"", ""01KZ3M9CXC9ZEQN0K7JX5QFF1E"", ""01KZ3M9CX8NWC22AG4C3KC23NR"", ""01KZ3M9QFC7GX9QJJ2YDTY1JS9"", ""01KZ3M94CNH2DBE3YS9TN5PCNR""]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[[""01KZ3M9CXF11ZQ4VZPH6X2W742""], [""01KZ3M94CY033V410KKM8XHHH9""], [""01KZ3M9QFH0NFRPYCN7BAA9GXC""], [""01KZ3M9CXF11ZQ4VZPH6X2W742""], [""01KZ3M8RDBAF2AT1YNA4VD1GAX""], [""01KZ3M9CXGYVK1334CJDR9TWB2""], [""01KZ3M94CZFQCMCJPJFWYR5KYV""], [""01KZ3M94CXQEGZKMPRSQCYW6Q7""], [""01KZ3M9CXGYVK1334CJDR9TWB2""], [""01KZ3M8RDCMZQ8GH7SBW9CD6V1""]]","{""entities"": [""Alex"", ""Japan""], ""time_constraints"": [], ""operands"": [], ""list_cardinality"": {""known"": false, ""count"": 0}, ""update_state"": """", ""gap"": {""kind"": ""entity"", ""entity"": ""Alex"", ""start"": null, ""end"": null, ""operand"": """", ""source_need"": ""entity:Alex""}}",[],pass,
023-b20260803-r2-0-00078-0-00078-q1,temporal,train,When did Alex mention his mother's birthday?,January 25th,"Alex has booked flights for the trip. || Alex is considering taking the family reunion to Europe this year, possibly to France or Italy. || Alex is planning a family vacation in June. || Alex is planning a family vacation next month. || Alex is planning the trip for mid-July 2027. || Alex plans to visit Paris and Rome next year. || Alex plans to wait until closer to the family reunion to book flights and accommodations. || The family reunion will include Alex's parents, siblings, and their families, totaling about 25 people.","[""01KZ3KA4MBH9X022HNK62K8ZBT"", ""01KZ3K9TJ86QWJPQ8NXT435GV5"", ""01KZ3K9M8NTNFFN10KY14V2SHW"", ""01KZ3KAC71HWW19KCQFZ0ZSQ0P"", ""01KZ3KA4MFPJGWBFZK8QFNE3AF"", ""01KZ3KA4MABYGQCPFHRC7BP6YQ"", ""01KZ3K9TJC8DJQSPZRDZX6DAEH"", ""01KZ3K9TJ9ZC4MF9W0SNRAQVJX""]","[0, 1, 2, 3, 4, 5, 6, 7]","[[""01KZ3K9TJD34YF17M65F298SYB""], [""01KZ3K9M8TB1AAFPAPN8W6WRVF""], [""01KZ3K9DA5XA9SXBEWDYY0AE3V""], [""01KZ3KA4MHGDD49KRSPBMZZ452""], [""01KZ3K9TJEF54FR9VJJ730A8D8""], [""01KZ3K9TJD34YF17M65F298SYB""], [""01KZ3K9M8VFKMD0DD89TDPQ0PB""], [""01KZ3K9M8VA75VMZWTZDAWPY36""]]","{""entities"": [""Alex""], ""time_constraints"": [], ""operands"": [], ""list_cardinality"": {""known"": false, ""count"": 0}, ""update_state"": """", ""gap"": {""kind"": ""entity"", ""entity"": ""Alex"", ""start"": null, ""end"": null, ""operand"": """", ""source_need"": ""entity:Alex""}}",[],pass,
023-b20260803-r2-0-00145-0-00145-q1,temporal,train,When did Sam aim to finish his thesis?,By the end of 2027,"Sam aims to finish his thesis by the end of 2027. || Sam and the assistant discussed integrating a real-world example into Sam's thesis. || Sam documented the changes and solutions found during the integration process. || Sam faced compatibility issues with older versions of the software during the integration process. || Sam finished reading a paper by Dr. Thompson on network latency. || Sam has read the original paper on the Paxos algorithm by Leslie Lamport but finds it complex. || Sam integrated the optimized algorithm with the existing infrastructure, taking about 15 days. || Sam is exploring the use of machine learning to predict data access patterns and optimize replication strategies. || Sam is working on a thesis about distributed systems and is struggling with the section on distributed consensus algorithms. || Sam is working on optimizing data distribution in distributed systems, especially in cloud environments. || Sam observed that high packet losses or high latency significantly increased processing times. || Sam optimized the algorithm for data distribution in the system, making it 20% more efficient. || Sam plans to add a feature for real-time monitoring of system performance. || Sam plans to incorporate redundancy strategies into his work on reliability in distributed systems. || Sam's experiments involve both structured and unstructured data types, such as logs, user interactions, and large datasets from simulations. || Sam was working on a chapter about network latency in distributed systems. || Sam will use diagrams to visualize the Paxos algorithm process.","[""01KZ3NMYCHPZ2TA8NJJVCHBPNG"", ""01KZ3NP2KBMA49VMG2G3YW2FDT"", ""01KZ3NNN0TFYAMCZXX06XWPT2P"", ""01KZ3NNN0SEDMRFGE43Z3E1RVV"", ""01KZ3NNAKNB6A8883F6Z6CXHAV"", ""01KZ3NP2K75HTW11FTV9TDTTFM"", ""01KZ3NNN0R6FH23W40ZCVRXG76"", ""01KZ3NMYCEZSGEE94S9MEQQ0F5"", ""01KZ3NP2K22ASTFMJY0BXYFBCQ"", ""01KZ3NMYC7ZRPPM03569MGNC78"", ""01KZ3NNAKKEDHA6DX8YT0SVYR8"", ""01KZ3NNN0QQ2WH03N9GXG6DDEA"", ""01KZ3NNN0TWEG7M7VK851X34H6"", ""01KZ3NNAKP64C3EPZ0ZF8EYT2B"", ""01KZ3NMYCFEKMRZ67G437QJWTB"", ""01KZ3NNAKHCDSRNE4P5J98ZRQR"", ""01KZ3NP2KA5GBJHTQ3QCQQ4R8K""]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]","[[""01KZ3NMMD8TJPJKCNQNBARZNZB""], [""01KZ3NNN0WBY4S38Z1FCT8QPE3""], [""01KZ3NNAKR5X6PM4S99XEM2RC5""], [""01KZ3NNAKQFMT6NAV5EY75P6DW""], [""01KZ3NMYCNRDEKZCFNDB997XA8""], [""01KZ3NNN0V3F4RFGBQ9SCPVB92""], [""01KZ3NNAKQK3ASVFA0H58Q2RY5""], [""01KZ3NMMD7H6TQ9AVK3VW7MDQA""], [""01KZ3NNN0V3F4RFGBQ9SCPVB92"", ""01KZ3NNN0VCMNSHR6SABVS4J5T""], [""01KZ3NMMD57CHJRGSNXAX4MAAB""], [""01KZ3NMYCMFS21ZBVGFCJPDD2S""], [""01KZ3NNAKQZ6FVM96DK9S4S8G3""], [""01KZ3NNAKRMP173Y7MPTEFYZCB""], [""01KZ3NMYCPS5XG15XN29S4JXFB""], [""01KZ3NMMD8PYHHSVJRA435S98V""], [""01KZ3NMYCJEJNY0GHGTQJDS94F""], [""01KZ3NNN0WBY4S38Z1FCT8QPE3""]]","{""entities"": [""Sam""], ""time_constraints"": [], ""operands"": [], ""list_cardinality"": {""known"": false, ""count"": 0}, ""update_state"": """", ""gap"": null}","[{""kind"": ""KEEP"", ""candidate_id"": ""01KZ3NP2K22ASTFMJY0BXYFBCQ"", ""source_id"": ""01KZ3NNN0V3F4RFGBQ9SCPVB92""}]",fail,KEEP 01KZ3NP2K22ASTFMJY0BXYFBCQ 不含截止时间；应 KEEP 01KZ3NMYCHPZ2TA8NJJVCHBPNG。
023-b20260803-r2-0-00149-0-00149-q1,temporal,train,When did Dana plan to add the new Dell PowerEdge R740 server to her home-lab project?,By the end of February,Dana added a new server to the lab on 2026-03-10. || Dana considers using Flux to manage Kubernetes manifests. || Dana encountered minor API compatibility bugs during the integration process. || Dana finished integrating new security features by the end of April 2026. || Dana has written a script for automating backups but hasn't tested it yet. || Dana installed the latest version of Kubernetes last week. || Dana is integrating Kubernetes with her existing Docker setup. || Dana planned to add the new server by the end of February 2026. || Dana plans to set up a cloud backup service by the end of this week. || Dana plans to set up a home network with three servers. || Dana plans to set up Flux after updating her home-lab documentation. || Dana plans to test the backup script next week. || Dana updated her home-lab documentation yesterday with new details about the Kubernetes installation. || Dana wants to automate the backups after testing the script successfully. || Dana will start looking into new server hardware next month. || Dana will start the home-lab project this week.,"[""01KZ3NTWQC6CV5B07H65H0BG6P"", ""01KZ3NTJYECRXZT708TEQRMJBW"", ""01KZ3NV53QGRBDN09J55X84Z47"", ""01KZ3NV53PHPBAJJX4RXR4EZRX"", ""01KZ3NTWQJXBPQ5A6E2VRJKCRR"", ""01KZ3NTJYBCAE3584B9NQ5W49H"", ""01KZ3NTJYDZZZ8Z8MN0ANAG0YQ"", ""01KZ3NTWQEP4H9HW9454FBX4XM"", ""01KZ3NV53SQVMGN8FXVYMS665N"", ""01KZ3NTBK3YD101ZZB8C93PX4V"", ""01KZ3NTJYFXCKS5ZD1NSQ29Q1K"", ""01KZ3NTWQFH8EY98EZDGSN8VGW"", ""01KZ3NTJYGSW1M1WDNTCMXQ58S"", ""01KZ3NTWQHQXAJJ20A1GNDPYQC"", ""01KZ3NV53TJMXQTT7EY7EXTA0E"", ""01KZ3NTBK6B8FR0ZBQ8FA4AGMR""]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[[""01KZ3NTJYJAPP041ZPEK94QD4W""], [""01KZ3NTBKCBBR32TMJZP51DA54"", ""01KZ3NTBKCZ19GJA1DB21H63ZS""], [""01KZ3NTWQMKSX578SR2YK95F3C""], [""01KZ3NTWQK6X3A8EXGT2YS542H""], [""01KZ3NTJYJETEF04PQWWSQ1AK8""], [""01KZ3NTBKCZ19GJA1DB21H63ZS""], [""01KZ3NTBKCZ19GJA1DB21H63ZS""], [""01KZ3NTJYJ0J9349FPDJD8M0A9""], [""01KZ3NTWQM6PBSJ2VGQ8A30SY6""], [""01KZ3NSY18HFC70H4CJSM07QZS""], [""01KZ3NTBKDJ96ZCXAT9DD5SZD7""], [""01KZ3NTJYK18AHBYWPNQBPS38T""], [""01KZ3NTBKDJ96ZCXAT9DD5SZD7""], [""01KZ3NTJYK18AHBYWPNQBPS38T""], [""01KZ3NTWQMK21YPJBV9BPGWW8R""], [""01KZ3NSY18MX0AAFZYBQ5RY60B""]]","{""entities"": [""Dana"", ""Dell"", ""PowerEdge"", ""R740""], ""time_constraints"": [], ""operands"": [], ""list_cardinality"": {""known"": false, ""count"": 0}, ""update_state"": """", ""gap"": {""kind"": ""entity"", ""entity"": ""Dana"", ""start"": null, ""end"": null, ""operand"": """", ""source_need"": ""entity:Dana""}}",[],fail,gap漏标；应 KEEP 01KZ3NTWQEP4H9HW9454FBX4XM，候选给出 by the end of February 2026。
023-b20260803-r2-0-00050-0-00050-q1,temporal,train,When did Dana add a new server to her home-lab project?,June 15th,"Dana added a new server, a Dell R740 with 256GB RAM, on June 15th. || Dana added an extra SSD for more storage space last week. || Dana added new modules to the codebase of the home-lab project last month. || Dana added two more servers to the home-lab project on 2025-12-27. || Dana containerized one of the services last week. || Dana currently has three servers in her lab: two running Linux and one running Windows. || Dana faced some challenges during the migration of the Windows VM but managed to complete it successfully. || Dana finished upgrading her server last week. || Dana had to tweak security settings for the newly added modules in the home-lab project. || Dana plans to migrate two older VMs to the new server: an Ubuntu server for hosting websites and a Windows machine for development. || Dana plans to set up a backup system. || Dana plans to start testing the scalability of the home-lab project next week. || Dana started her home-lab project in early 2025. || Dana uses Ansible for automation and Docker for containerization in her home-lab project. || Since the migration, Dana has made a few tweaks to the network setup and updated the firewall rules. || The new server will provide more resources for Dana's virtual machines and data analysis tasks.","[""01KZ3J9R35ZAGD3VFTCYA0VNC9"", ""01KZ3JA9F4CTZVMT9H19G9C8GP"", ""01KZ3JA1BMHV88HZ23T94A071G"", ""01KZ3JA1BFBMFSBY7MN0N4SBFH"", ""01KZ3JA9F6WF5TVNKD7ZZ0ARKZ"", ""01KZ3J9C6Z8YQXVCKPX151VWKT"", ""01KZ3J9R3B4QAVGB871WYEH1MY"", ""01KZ3JA9F23Y3PQGNYS708ZNXP"", ""01KZ3JA1BNBW29SRW659VF6AVR"", ""01KZ3J9R3APNBYB8C39TZSCRFA"", ""01KZ3JA9F6YP00P0Z9BX9J7JGG"", ""01KZ3JA1BJ9PGFEP7XCCNSPJ90"", ""01KZ3J9C6YBQVC79XM0PRTTACT"", ""01KZ3J9C71WPN5QPTVY5JK0NXE"", ""01KZ3J9R3CHAPJNAMATTCV68AP"", ""01KZ3J9R38KSKT9Y40XVB6NPXJ""]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[[""01KZ3J9C732S1NK4VY8H8Y2MDW""], [""01KZ3JA1BQ013P1K8VJEB5MBRK""], [""01KZ3J9R3D1YB4MM4DQA1HXHHK""], [""01KZ3J9R3DESX2H7E3D3VQB0CP""], [""01KZ3JA1BQ6WNEFTFECVR9ZPN6""], [""01KZ3J96RBB14SBFRDFKA9356K""], [""01KZ3J9C74NKG4GVHMC7Q3P71V""], [""01KZ3JA1BPDJW8TSECQNSNHCQ3""], [""01KZ3J9R3DWQK8ZGZHBHKTW52X""], [""01KZ3J9C743HVP060WCTYJQJQ5""], [""01KZ3JA1BRFWN943M0KEVDAY3A""], [""01KZ3J9R3DPN1JV7JYZ8424FV1""], [""01KZ3J96RARXS6FTP9ZGAXCWNH"", ""01KZ3J96RBRPJM0Q924ADPK2KC""], [""01KZ3J96RC2FX0MEBGG37HWAFB"", ""01KZ3J96RCWM2Z63P5BNERZ8Q1""], [""01KZ3J9C75W17Z0VS5Z80XHPDT""], [""01KZ3J9C732S1NK4VY8H8Y2MDW""]]","{""entities"": [""Dana""], ""time_constraints"": [], ""operands"": [], ""list_cardinality"": {""known"": false, ""count"": 0}, ""update_state"": """", ""gap"": null}","[{""kind"": ""KEEP"", ""candidate_id"": ""01KZ3J9R35ZAGD3VFTCYA0VNC9"", ""source_id"": ""01KZ3J9C732S1NK4VY8H8Y2MDW""}, {""kind"": ""KEEP"", ""candidate_id"": ""01KZ3J9R38KSKT9Y40XVB6NPXJ"", ""source_id"": ""01KZ3J9C732S1NK4VY8H8Y2MDW""}]",pass,
023-b20260803-r2-0-00136-0-00136-q1,temporal,train,When did Dana start her home-lab project?,Dana started her home-lab project in late 2025.,Adding 16GB of RAM improved the server's processing speed significantly. || Dana added 16GB of RAM to the server. || Dana added custom DNS entries and adjusted the subnet for the bridge network during the Docker update. || Dana added four more SSDs to the server on 2026-04-14. || Dana aims to have a prototype of 'QuickSync' ready by the end of March. || Dana encountered issues with container networking after updating Docker. || Dana has verified the network settings and logs for error messages. || Dana is considering adding a new virtual machine to her home-lab. || Dana is considering adding AI projects to the home-lab. || Dana optimized the network routing in the home-lab project today. || Dana’s containers are experiencing DNS resolution errors. || Dana’s home-lab server has 8TB of storage now. || Dana started working on a new feature called 'QuickSync'. || Dana updated her home-lab to use the latest version of Docker. || Dana updated the server to the latest OS version on 2026-02-17. || Dana upgraded the home-lab server hardware last month. || 'QuickSync' is designed to allow faster data transfer between the server and local devices.,"[""01KZ3NB4M8QAS60VA0D91KJJSG"", ""01KZ3NB4M6VRZNK7G4ZV5142QQ"", ""01KZ3NAV4EKYZJ3F9P64JGPMTQ"", ""01KZ3NBFWV2625TKV8VF4XHDB1"", ""01KZ3NB4MECN02BA5Y26N917R7"", ""01KZ3NAV4CJHEPTF3V2YR16SGV"", ""01KZ3NAV4G88DVJX2R7JEMPMRS"", ""01KZ3NAV4G93WB351B3ABVDK2H"", ""01KZ3NBFX2VKR5Y46XNTC1KWGW"", ""01KZ3NBFX0D95JK6DMBNMBCEFH"", ""01KZ3NAV4FAAPVF1QSQ62Z3TCM"", ""01KZ3NBFX1HPH374EDMMW3XY82"", ""01KZ3NB4MAXSQQJHWCDB9GHVMF"", ""01KZ3NAV4A9NDGR5CZ7EMAR9G9"", ""01KZ3NB4M2SWJJVEK5ZMZ0E5RW"", ""01KZ3NBFWYH6K72BGPTJJ12Z85"", ""01KZ3NB4MCBS0C18PWATTK013F""]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]","[[""01KZ3NAV4J9CZRNW0GZ3K95VQN""], [""01KZ3NAV4J9CZRNW0GZ3K95VQN""], [""01KZ3NAETSHZ8WC5PPYJ2KAEKH""], [""01KZ3NB4MHJHWSP03NCW0F30JN"", ""01KZ3NB4MJ0RM7CXB97QTKFM9Z""], [""01KZ3NAV4KRBYYQK2KQRW62DXZ""], [""01KZ3NAETSAGF9WHF71YMY3S0M""], [""01KZ3NAETTM1RJFBC1M08E5M2B""], [""01KZ3NAETVTM006DKQDJJ2VDTA""], [""01KZ3NB4MM9FEME56WT45H7FJ3""], [""01KZ3NB4MJRTRF8DKNHQ67VEQR""], [""01KZ3NAETTZHY0ANRX9GKMXTK5""], [""01KZ3NB4MJ0RM7CXB97QTKFM9Z""], [""01KZ3NAV4J2T8VJJ4DCNM9T1BX""], [""01KZ3NAETRDBJ3C1T28G6GTRB8""], [""01KZ3NAV4H6RJVHY9E2EDNZM04""], [""01KZ3NB4MG11E06WNVJTZ63M99""], [""01KZ3NAV4J2T8VJJ4DCNM9T1BX""]]","{""entities"": [""Dana""], ""time_constraints"": [], ""operands"": [], ""list_cardinality"": {""known"": false, ""count"": 0}, ""update_state"": """", ""gap"": {""kind"": ""entity"", ""entity"": ""Dana"", ""start"": null, ""end"": null, ""operand"": """", ""source_need"": ""entity:Dana""}}",[],pass,
023-b20260803-r2-0-00123-0-00123-q1,temporal,train,When did Savor open?,March 2026,Mei runs a restaurant called 'Savor' in downtown. || Savor received exotic spices from a supplier in Morocco this week. || Savor receives fresh organic produce every Monday.,"[""01KZ3MVQA0AXFYVAPFG62YRRHM"", ""01KZ3MVQA11ECZACC7VWFH4Y4J"", ""01KZ3MVQA2QFCXGP3QQG1KYCA9""]","[0, 1, 2]","[[""01KZ3MVD38QP7AVZMMQ2MBCT5S""], [""01KZ3MVD38TTBP2Z9G2Y8W2KXS""], [""01KZ3MVD38TTBP2Z9G2Y8W2KXS""]]","{""entities"": [""Savor""], ""time_constraints"": [], ""operands"": [], ""list_cardinality"": {""known"": false, ""count"": 0}, ""update_state"": """", ""gap"": {""kind"": ""entity"", ""entity"": ""Savor"", ""start"": null, ""end"": null, ""operand"": """", ""source_need"": ""entity:Savor""}}",[],pass,
023-b20260803-r2-0-00108-0-00108-q1,temporal,train,When is the planned launch date for the NovaTech project?,"December 15, 2026","A dry run of the launch is scheduled for March 22nd at 10 AM. || Priya is working on a project called 'NovaTech'. || The planned launch date for NovaTech is December 15, 2026. || Thorough testing and marketing readiness for NovaTech should be completed by November 15, 2026.","[""01KZ3MCHQX2RZ694X7P76S6JKB"", ""01KZ3MBR44SAHKS1K58HBT1QHZ"", ""01KZ3MBR469Q36SD1NNPXRGFS6"", ""01KZ3MBR49P1Q9BK9S9NVXV752""]","[0, 1, 2, 3]","[[""01KZ3MC89Y9WHYHSNF7DKMJN02""], [""01KZ3MBJ30MTXD3WZK9JA61DFX""], [""01KZ3MBJ30NYG0M5BM5RRA21HV""], [""01KZ3MBJ319D8A0RM9SWBS2QQK""]]","{""entities"": [""NovaTech""], ""time_constraints"": [], ""operands"": [], ""list_cardinality"": {""known"": false, ""count"": 0}, ""update_state"": """", ""gap"": null}","[{""kind"": ""KEEP"", ""candidate_id"": ""01KZ3MBR469Q36SD1NNPXRGFS6"", ""source_id"": ""01KZ3MBJ30NYG0M5BM5RRA21HV""}]",pass,
023-b20260803-r2-0-00130-0-00130-q1,temporal,train,When did Mei plan to host a special event?,April 22nd,"Mei expanded the menu for a special event coming up in June. || Mei is planning a special event on April 22nd. || Mei needs 5-7 extra servers for the event. || Mei needs additional bamboo plates, napkins, and cutlery sets for the event. || Mei owns a restaurant in downtown. || Mei switched to a new supplier for organic vegetables last month. || Mei updated the booking system to include more details for regular customers.","[""01KZ3N4AY0J7H43FMPBQDMWQDG"", ""01KZ3N3XH2NHF05D9NC0TR9V1V"", ""01KZ3N3XH7AFJ7BP6N8111Q3QE"", ""01KZ3N3XH46MRJ9JNXDXNBC1XB"", ""01KZ3N3S2MHDR1Q03CHSG7J61S"", ""01KZ3N4AXYHCCR76Z42R0Q3NWW"", ""01KZ3N4AY30M4H8X8FZTNJQEWB""]","[0, 1, 2, 3, 4, 5, 6]","[[""01KZ3N42TVFTB2YQ02042HJ1D6""], [""01KZ3N3S2P2WN6MSWDA3T3K6CP""], [""01KZ3N3S2Q0RYMHMT0H2EDH4XD""], [""01KZ3N3S2QHYGMY0JP5CR35B3V""], [""01KZ3N3QR1XC61M57X0PZQPK5G""], [""01KZ3N42TVQ4SVM9P82P4J4KJR""], [""01KZ3N42TVMSP9PTD63AG6BHY3""]]","{""entities"": [""Mei""], ""time_constraints"": [], ""operands"": [], ""list_cardinality"": {""known"": false, ""count"": 0}, ""update_state"": """", ""gap"": null}","[{""kind"": ""KEEP"", ""candidate_id"": ""01KZ3N3XH2NHF05D9NC0TR9V1V"", ""source_id"": ""01KZ3N3S2P2WN6MSWDA3T3K6CP""}]",pass,
023-b20260803-r2-0-00068-0-00068-q1,temporal,train,When is Lily's birthday?,June 15th,"Lily's birthday is on June 15th. || Max might be invited to Lily's birthday party this year. || The family is considering a beach trip or a visit to a local park or nearby town during the summer. || The family usually celebrates Lily's birthday with a small party at home, cake, and games. || There are three people in the family: the user, Lily (age 8), and Max.","[""01KZ3JZ4WP9WBHYGA79T60AB78"", ""01KZ3JZ4WSN11NTQJSYP8Z1TZ2"", ""01KZ3JZ4WSFR3MGDAMC95GBSBK"", ""01KZ3JZ4WR1TB0NH2AY7157ERY"", ""01KZ3JZ4WKD5EB2712RRNA2RGJ""]","[0, 1, 2, 3, 4]","[[""01KZ3JYVG2NE7TBEEAFBB2QF50""], [""01KZ3JYVG3QT278W4YY4GHJMJZ""], [""01KZ3JYVG30Y18HFHKZC5ZEXEZ""], [""01KZ3JYVG2NE7TBEEAFBB2QF50""], [""01KZ3JYVG1NY78ES40H9AW5FJR""]]","{""entities"": [""Lily's""], ""time_constraints"": [], ""operands"": [], ""list_cardinality"": {""known"": false, ""count"": 0}, ""update_state"": """", ""gap"": null}","[{""kind"": ""KEEP"", ""candidate_id"": ""01KZ3JZ4WP9WBHYGA79T60AB78"", ""source_id"": ""01KZ3JYVG2NE7TBEEAFBB2QF50""}]",pass,
023-b20260803-r2-0-00012-0-00012-q1,temporal,train,When is Sarah's birthday according to the latest information?,Sarah's birthday is on June 17th.,Sarah and her kids are suggested to join Alex on the trip. || Sarah’s birthday is on June 17th.,"[""01KZ3GXXRFHKW4P0VKYD0852AA"", ""01KZ3GXPNQB363W0VKAWR9JR9K""]","[0, 1]","[[""01KZ3GXPNT9M0BBNADVR6YA35W""], [""01KZ3GXFV3VNYB642SVPZ16H8C"", ""01KZ3GXFV4X7ZJWPP64F7FQVAN""]]","{""entities"": [""Sarah's""], ""time_constraints"": [], ""operands"": [], ""list_cardinality"": {""known"": false, ""count"": 0}, ""update_state"": ""latest"", ""gap"": null}","[{""kind"": ""KEEP"", ""candidate_id"": ""01KZ3GXPNQB363W0VKAWR9JR9K"", ""source_id"": ""01KZ3GXFV3VNYB642SVPZ16H8C""}]",pass,
023-b20260803-r2-0-00172-0-00172-q1,temporal,train,When did Dana plan to start assembling and setting up her home-lab project?,I think I'll start this weekend.,"Dana encountered network latency issues when testing the connection speed between the lab and her office after upgrading her server. || Dana also plans to set up a dedicated VLAN for better isolation in her home-lab project. || Dana considered adding multi-factor authentication for security, opting for Google Authenticator. || Dana finished the hardware setup for the new server last week. || Dana has been working on the home-lab project since January. || Dana has chosen a Raspberry Pi 4, an external USB drive, and a basic network switch for her home-lab project. || Dana integrated a new monitoring script that checks CPU and disk usage every hour and logs it to a database. || Dana integrated new server hardware into the home-lab project last month. || Dana is considering using Ubuntu Server for her home-lab project. || Dana is working on a home-lab project to learn about networking, storage, and basic system administration. || Dana plans to add more virtual machines for testing and update monitoring tools. || Dana plans to finalize the networking setup and migrate services by the end of April. || Dana plans to implement containerization next week after ensuring stability. || Dana plans to set up a firewall and implement an intrusion detection system to enhance security. || Dana plans to spend $500-$700 on hardware for her home-lab project, plus some time investment. || Dana plans to start assembling and setting up her home-lab this weekend after ensuring all components arrive. || Dana plans to test upgrading the network card to address network latency issues this week. || Dana’s new home-lab server has improved performance, particularly with the new storage system. || Dana upgraded her home-lab server to the latest Ubuntu version in March 2026.","[""01KZ3PNYQPX94WNE6VS8FD9CXR"", ""01KZ3PNYQR23EB56ZZD032S1XE"", ""01KZ3PP6W4H61NXM3M0D8C77WQ"", ""01KZ3PPFNVP0KWAAXFS5NW890R"", ""01KZ3PP6W1C1MVCNQ8Z0EPGGP5"", ""01KZ3PNH06VEEYK3WCHXPPHDM6"", ""01KZ3PNYQNVQ7CW551X52CBDTY"", ""01KZ3PP6W2HTJNVX86BAMX9WAE"", ""01KZ3PNH083QWP735SNAT2SV0Q"", ""01KZ3PNH02AQZ5278CKTJCRJGG"", ""01KZ3PPFNWVGCEX0294KJA6NZN"", ""01KZ3PP6W355NWDYHV5STE3N85"", ""01KZ3PPFNZHJSAWMJC7YWBRZ91"", ""01KZ3PP6W58FBAM246BJMZ41ME"", ""01KZ3PNH055V3J8VW21SEWT6EB"", ""01KZ3PNH07R97S8TTJV30QASNE"", ""01KZ3PNYQQGW0AAV48WTV2JECK"", ""01KZ3PNYQMZRDZZWEAHPF7JFXS"", ""01KZ3PNYQKM1QVNFW2334ZTCCC""]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]","[[""01KZ3PNH0ACMKJ9D357YQ1X223""], [""01KZ3PNH0AYTK59VN6484NPEMS""], [""01KZ3PNYQTH6B6QRH9ZKX5F5C0""], [""01KZ3PP6W7CX13RWEWYC8VG5PP""], [""01KZ3PNYQS4FQ4ZHE8X6DYTV3R""], [""01KZ3PN86H9BFH7SNP8NCYE8XN""], [""01KZ3PNH0A9F22TWEJ1WDKHSMY""], [""01KZ3PNYQS4FQ4ZHE8X6DYTV3R""], [""01KZ3PN86JJ8HM0ENFMHDVFFGT""], [""01KZ3PN86GH740X7RQ2ZHA5650""], [""01KZ3PP6W7AD3QWQ714BMAANY7""], [""01KZ3PNYQSPM8YB1CNM44G9900""], [""01KZ3PP6W8SVKXZRD8ZS3SZC89""], [""01KZ3PNYQT4H2TPY3PY6MS52R3""], [""01KZ3PN86HS07CJQH04F7W2H2T""], [""01KZ3PN86JYQZJ5EKV63S71AMW""], [""01KZ3PNH0AYTK59VN6484NPEMS""], [""01KZ3PNH09YA3QSPKJNRFYJNK0""], [""01KZ3PNH09B0EATQHN5APCC4KZ""]]","{""entities"": [""Dana""], ""time_constraints"": [], ""operands"": [], ""list_cardinality"": {""known"": false, ""count"": 0}, ""update_state"": """", ""gap"": null}","[{""kind"": ""KEEP"", ""candidate_id"": ""01KZ3PNH07R97S8TTJV30QASNE"", ""source_id"": ""01KZ3PN86JYQZJ5EKV63S71AMW""}]",pass,
